Seller Gstin,Invoice Number,Invoice Date,Transaction Type,Order Id,Shipment Id,Shipment Date,Order Date,Shipment Item Id,Quantity,Item Description,Asin,Hsn/sac,Sku,Product Tax Code,Bill From City,Bill From State,Bill From Country,Bill From Postal Code,Ship From City,Ship From State,Ship From Country,Ship From Postal Code,Ship To City,Ship To State,Ship To Country,Ship To Postal Code,Invoice Amount,Tax Exclusive Gross,Total Tax Amount,Cgst Rate,Sgst Rate,Utgst Rate,Igst Rate,Compensatory Cess Rate,Principal Amount,Principal Amount Basis,Cgst Tax,Sgst Tax,Igst Tax,Utgst Tax,Compensatory Cess Tax,Shipping Amount,Shipping Amount Basis,Shipping Cgst Tax,Shipping Sgst Tax,Shipping Utgst Tax,Shipping Igst Tax,Shipping Cess Tax Amount,Gift Wrap Amount,Gift Wrap Amount Basis,Gift Wrap Cgst Tax,Gift Wrap Sgst Tax,Gift Wrap Utgst Tax,Gift Wrap Igst Tax,Gift Wrap Compensatory Cess Tax,Item Promo Discount,Item Promo Discount Basis,Item Promo Tax,Shipping Promo Discount,Shipping Promo Discount Basis,Shipping Promo Tax,Gift Wrap Promo Discount,Gift Wrap Promo Discount Basis,Gift Wrap Promo Tax,Tcs Cgst Rate,Tcs Cgst Amount,Tcs Sgst Rate,Tcs Sgst Amount,Tcs Utgst Rate,Tcs Utgst Amount,Tcs Igst Rate,Tcs Igst Amount,Warehouse Id,Fulfillment Channel,Payment Method Code,Credit Note No,Credit Note Date
08CKPPG7938E1ZQ,IN-199,8/30/2018 0:03,MFNShipment,406-6803480-4873911,7.72E+12,8/1/2018 11:26,7/31/2018 23:33,1.27E+11,1,One Plus 3T Compatible Stereo Earphone with Mic and Volume Controller Headphone Headset Hands free Mini Size 3 5mm jack Compatible With All Android Sa,B07F5WJNTX,,XE RGKR M0XN,A_GEN_STANDARD,CHIRAWA,RAJASTHAN,IN,333026,CHIRAWA,RAJASTHAN,IN,333026,PANDHARPUR,MAHARASHTRA,IN,413304,259,219.49,39.51,0,0,0,0.18,0,199,168.64,0,0,30.36,0,0,60,50.85,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MFN,COD,,
08CKPPG7938E1ZQ,CN-18,7/23/2018 8:06,Refund,171-4253948-1140307,7.32E+12,7/24/2018 9:57,7/23/2018 7:37,1.26E+11,1,MD ORIGINAL Full HD 5D Tempered Glass for Huawei Honor 9 Lite,B07CFHVL2D,,I6 HA02 8YWB,A_GEN_STANDARD,CHIRAWA,RAJASTHAN,IN,333026,CHIRAWA,RAJASTHAN,IN,333026,BENGALURU,KARNATAKA,IN,560049,230,-194.92,-35.08,10,0,0,0,0,170,-144.07,0,0,-25.93,0,0,60,-50.85,0,0,0,-9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MFN,COD,,
08CKPPG7938E1ZQ,IN-273,8/16/2018 7:41,Cancel,171-5835702-8527502,6.60E+12,,,1.28E+11,1,,B07F5GZ2J5,,,A_GEN_STANDARD,CHIRAWA,RAJASTHAN,IN,333026,CHIRAWA,RAJASTHAN,IN,333026,SARDHANA,UTTAR PRADESH,IN,250342,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,0,,0,,0,,0,,,,,
08CKPPG7938E1ZQ,IN-199,8/30/2018 0:03,MFNShipment,406-6803480-4873911,7.72E+12,8/1/2018 11:26,7/31/2018 23:33,1.27E+11,1,One Plus 3T Compatible Stereo Earphone with Mic and Volume Controller Headphone Headset Hands free Mini Size 3 5mm jack Compatible With All Android Sa,B07F5WJNTX,,XE RGKR M0XN,A_GEN_STANDARD,CHIRAWA,RAJASTHAN,IN,333026,CHIRAWA,RAJASTHAN,IN,333026,PANDHARPUR,MAHARASHTRA,IN,413304,259,219.49,39.51,0,0,0,0.18,0,199,168.64,0,0,30.36,0,0,60,50.85,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MFN,COD,,
08CKPPG7938E1ZQ,CN-18,7/23/2018 8:06,Refund,171-4253948-1140307,7.32E+12,7/24/2018 9:57,7/23/2018 7:37,1.26E+11,1,MD ORIGINAL Full HD 5D Tempered Glass for Huawei Honor 9 Lite,B07CFHVL2D,,I6 HA02 8YWB,A_GEN_STANDARD,CHIRAWA,RAJASTHAN,IN,333026,CHIRAWA,RAJASTHAN,IN,333026,BENGALURU,KARNATAKA,IN,560049,230,-194.92,-35.08,10,0,0,0,0,170,-144.07,0,0,-25.93,0,0,60,-50.85,0,0,0,-9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,MFN,COD,,
08CKPPG7938E1ZQ,IN-273,8/16/2018 7:41,Cancel,171-5835702-8527502,6.60E+12,,,1.28E+11,1,,B07F5GZ2J5,,,A_GEN_STANDARD,CHIRAWA,RAJASTHAN,IN,333026,CHIRAWA,RAJASTHAN,IN,333026,SARDHANA,UTTAR PRADESH,IN,250342,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,0,,0,,0,,0,,,,,
