Seller Gstin,Invoice Number,Invoice Date,Transaction Type,Order Id,Shipment Id,Shipment Date,Order Date,Shipment Item Id,Quantity,Item Description,Asin,Hsn/sac,Sku,Product Tax Code,Bill From City,Bill From State,Bill From Country,Bill From Postal Code,Ship From City,Ship From State,Ship From Country,Ship From Postal Code,Ship To City,Ship To State,Ship To Country,Ship To Postal Code,Invoice Amount,Tax Exclusive Gross,Total Tax Amount,Cgst Rate,Sgst Rate,Utgst Rate,Igst Rate,Compensatory Cess Rate,Principal Amount,Principal Amount Basis,Cgst Tax,Sgst Tax,Igst Tax,Utgst Tax,Compensatory Cess Tax,Shipping Amount,Shipping Amount Basis,Shipping Cgst Tax,Shipping Sgst Tax,Shipping Utgst Tax,Shipping Igst Tax,Shipping Cess Tax Amount,Gift Wrap Amount,Gift Wrap Amount Basis,Gift Wrap Cgst Tax,Gift Wrap Sgst Tax,Gift Wrap Utgst Tax,Gift Wrap Igst Tax,Gift Wrap Compensatory Cess Tax,Item Promo Discount,Item Promo Discount Basis,Item Promo Tax,Shipping Promo Discount,Shipping Promo Discount Basis,Shipping Promo Tax,Gift Wrap Promo Discount,Gift Wrap Promo Discount Basis,Gift Wrap Promo Tax,Tcs Cgst Rate,Tcs Cgst Amount,Tcs Sgst Rate,Tcs Sgst Amount,Tcs Utgst Rate,Tcs Utgst Amount,Tcs Igst Rate,Tcs Igst Amount,Warehouse Id,Fulfillment Channel,Payment Method Code,Credit Note No,Credit Note Date
07HCLPS9492G1ZN,IN-55,14-05-2019 21:10,MFNShipment,402-8712059-9094731,1.24E+13,15-05-2019 11:30,14-05-2019 20:40,1.88E+11,3,Erma Professional Refractometer with Dual Scale 0 100 PPT of Salinity and 1 000 to 1 070 Specific Gravity  0 10   with ATC  Sea Water  Aquarium Tank ,B07J38RT7D,,HL 6F49 OXM5,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,RATNAGIRI,MAHARASHTRA,IN,415612,4248,3600,648,0,0,0,0.18,0,4248,3600,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,36,,MFN,COD,,
07HCLPS9492G1ZN,IN-57,15-05-2019 12:36,MFNShipment,408-7396146-5641123,9.22E+12,15-05-2019 14:16,15-05-2019 12:06,1.88E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,SURAT,GUJARAT,IN,395007,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,COD,,
07HCLPS9492G1ZN,IN-58,16-05-2019 11:09,MFNShipment,407-4975007-2635555,1.20E+13,16-05-2019 14:16,16-05-2019 10:40,1.87E+11,1,Original Erma 0 10  Brix Hand Held Refractometers with  ATC  Brix Refractometer Range 0 10  Brix Testing synthetic machining Coolants  maple sap  Cutt,B07J395KP8,,9H APP4 Y0O4,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,SRIPERUMBUDUR,TAMIL NADU,IN,602105,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,COD,,
07HCLPS9492G1ZN,IN-61,18-05-2019 08:52,MFNShipment,406-6620674-4365159,1.20E+13,18-05-2019 14:03,18-05-2019 08:25,1.88E+11,2,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,BANGALORE,KARNATAKA,IN,560024,2832,2400,432,0,0,0,0.18,0,2832,2400,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,24,,MFN,COD,,
07HCLPS9492G1ZN,IN-60,17-05-2019 14:09,MFNShipment,171-4305317-0362733,1.28E+13,18-05-2019 14:03,17-05-2019 13:39,1.89E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,Sonipat,HARYANA,IN,131001,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,GC_POA,,
07HCLPS9492G1ZN,IN-62,19-05-2019 10:03,MFNShipment,403-0480330-0487568,1.20E+13,19-05-2019 12:46,19-05-2019 09:36,1.88E+11,1,Erma Original Honey Refractometer for Honey Moisture  Brix and Baume  3 in 1 Uses  58 90  Brix Scale Range Honey Moisture Tester  with ATC  Ideal for,B07J3BKCKR,,HR 2516,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,KANNUR,KERALA,IN,670582,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,CC,,
07HCLPS9492G1ZN,IN-63,22-05-2019 01:54,MFNShipment,407-2995949-1949161,1.28E+13,22-05-2019 12:14,22-05-2019 01:26,1.89E+11,1,Erma Leather Case 0 32  Brix Hand Held Refractometers with Automatic Temperature Compensation for Sugar Content Measurement,B07H8PM1TQ,,QJ YW7D MFSQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,JALALABAD,PUNJAB,IN,152024,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,CC,,
07HCLPS9492G1ZN,IN-67,27-05-2019 22:10,MFNShipment,404-7121605-4449941,1.34E+13,28-05-2019 11:14,27-05-2019 21:40,1.89E+11,1,Leather Case Original Erma 28 62  Brix Hand Held Refractometer with Automatic Temperature Compensation  ATC  for Sugar Content Measurement ,B07J3BJ8SW,,GI 42XP LO9J,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,JATANI,ODISHA,IN,752050,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,COD,,
07HCLPS9492G1ZN,IN-66,27-05-2019 15:04,MFNShipment,405-7756901-9199545,1.24E+13,28-05-2019 11:14,27-05-2019 14:35,1.89E+11,1,Original Erma 45 82  Brix Professional Grade Optical Hand Held Refractometer  Sugar Type for Syrup  Jelly  Jam Low Volume  45 80  Brix Range  0 2  B,B07J39RCD5,,GT AFTW ZRYQ,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,NADIAD,GUJARAT,IN,387345,1534,1300,234,0,0,0,0.18,0,1534,1300,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,13,,MFN,CC,,
07HCLPS9492G1ZN,IN-68,31-05-2019 00:50,MFNShipment,407-2712020-3977111,1.34E+13,31-05-2019 14:16,31-05-2019 00:22,1.90E+11,1,Erma Professional Refractometer with Dual Scale 0 100 PPT of Salinity and 1 000 to 1 070 Specific Gravity  0 10   with ATC  Sea Water  Aquarium Tank ,B07J38RT7D,,HL 6F49 OXM5,A_GEN_STANDARD,NEW DELHI,DELHI,IN,110085,NEW DELHI,DELHI,IN,110085,HARIDWAR,UTTARAKHAND,IN,249408,1416,1200,216,0,0,0,0.18,0,1416,1200,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,12,,MFN,NB,,
